Reference, Value, Footprint, Datasheet, manf#, Field10, Field11, Field4, Field5, Field6, Field7, Field8, Field9
"U1","MC60_0","mc60_fp:XCVR_MC60","MC60"
"J3","B_SPKP","mc60_fp:Test_Point_Pad_2.0x2.0mm",""
"J4","B_SPKN","mc60_fp:Test_Point_Pad_2.0x2.0mm",""
"J5","B_ADC","mc60_fp:Test_Point_Pad_2.0x2.0mm",""
"J1","B_LS_N","mc60_fp:Test_Point_Pad_2.0x2.0mm",""
"J2","B_VRTC","mc60_fp:Test_Point_Pad_2.0x2.0mm",""
"S1","SW-ON","mc60_fp:SW_SPST_DTSM","","mfr_pn","","","","","","","",""
"H1","UART_DBG","mc60_fp:Pin_Header_Straight_1x04","~","mfr_pn","","","","","","","",""
"H2","UART","mc60_fp:Pin_Header_Straight_2x04",""
"CN6","5V_IN","mc60_fp:conn_screw_2.54mm_2pol",""
"H4","ON<>OFF","mc60_fp:Pin_Header_Straight_1x03","~"
"H3","3V3_EXT","mc60_fp:Pin_Header_Straight_1x03","~"
"SC1","SCREW","mc60_fp:mtg_hole_3mm_vias_2","","Value","","","","","","","",""
"SC2","SCREW","mc60_fp:mtg_hole_3mm_vias_2","","Value","","","","","","","",""
"SC3","SCREW","mc60_fp:mtg_hole_3mm_vias_2","","Value","","","","","","","",""
"SC4","SCREW","mc60_fp:mtg_hole_3mm_vias_2","","Value","","","","","","","",""
"G2","KiCad","mc60_fp:KiCad-Logo3_6mm_SilkScreen","","Value","","","","","","","",""
"G3","LOGO_WL","mc60_fp:logo_wyo3","","Value","","","","","","","",""
"G1","OSHW","mc60_fp:Logo_silk_OSHW_6x6mm","","Value","","","","","","","",""
"L1","0E","mc60_fp:R_0402_NoSilk","","mfr_pn","","","","","","","",""
"C45","33pF","mc60_fp:C_0402_NoSilk",""
